Group_id,Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
7,1714127006509,-1.58,-1.45,10.39,0.36,0.12,-0.03
7,1714127006610,-1.98,-1.12,10.66,0.21,0.04,-0.01
7,1714127006715,-1.71,-1.27,10.33,0.23,0.05,-0.04
7,1714127006817,-1.88,-1.28,10.65,0.23,0.01,0.01
7,1714127006920,-3.47,-0.77,11.31,0.52,0.68,0.16
7,1714127008580,-2.16,-0.81,10.48,0.16,0.02,0.00
8,1714127011686,-2.02,-0.96,10.51,0.18,0.01,-0.01
8,1714127011789,-2.19,-0.86,10.42,0.16,-0.02,-0.00
8,1714127011892,-2.39,-0.93,10.43,0.16,0.00,-0.02
8,1714127011995,-2.14,-1.02,10.41,0.21,-0.00,-0.04
8,1714127012098,-1.87,-1.01,11.30,0.21,-0.08,-0.05
8,1714127012201,-2.48,-0.34,11.51,0.16,-0.07,0.05
8,1714127012303,-1.52,-1.04,13.61,1.52,-1.20,0.18
8,1714127012833,0.25,1.34,7.93,-0.86,0.36,-0.34
8,1714127013758,-2.07,-0.73,10.34,0.24,0.04,-0.03
9,1714127016864,-2.23,-0.61,10.51,0.23,0.02,-0.02
9,1714127017160,-2.04,-0.45,11.47,0.15,0.03,-0.03
9,1714127017405,-2.20,-0.04,12.95,1.18,-0.70,0.43
9,1714127017508,-2.10,0.44,11.36,1.11,-0.56,0.57
9,1714127017612,-2.17,0.12,9.81,1.19,-0.64,0.47
9,1714127018109,0.37,1.86,9.17,-0.97,0.53,-0.12
9,1714127019033,-1.72,-1.60,10.31,0.26,0.04,-0.01
10,1714127022453,-2.37,-1.05,10.57,0.14,0.01,0.02
10,1714127022557,-1.98,-1.13,11.63,0.08,-0.12,-0.02
10,1714127022659,-2.44,-0.98,11.48,0.22,0.19,0.04
10,1714127022762,-3.45,-0.11,13.45,0.43,-0.42,0.76
11,1714127028430,-1.66,-1.19,11.88,0.07,0.16,0.02
11,1714127030210,-1.92,-0.96,10.46,0.21,0.07,-0.01
12,1714127033605,-1.11,-0.65,11.40,0.20,0.09,0.06
12,1714127033871,-1.68,-0.21,11.79,1.07,-0.75,0.27
12,1714127034416,1.11,0.32,8.03,-0.35,0.67,-0.18
12,1714127035116,-2.08,-0.83,10.67,0.27,0.09,-0.01
12,1714127035260,-2.06,-0.78,10.44,0.23,0.04,-0.02
13,1714127038598,-1.45,-0.66,10.88,0.32,0.25,-0.11
13,1714127038701,-3.39,0.03,11.44,0.21,0.42,0.13
13,1714127039419,-0.60,2.17,8.62,-0.74,0.42,-0.23
13,1714127040314,-1.87,-1.02,10.57,0.26,0.09,-0.02
14,1714127043419,-1.95,-0.96,10.46,0.26,0.09,-0.03
14,1714127043519,-1.95,-1.03,10.36,0.27,0.10,-0.03
14,1714127043670,-1.41,-0.74,11.06,0.16,0.34,-0.05
14,1714127043773,-1.30,-0.46,12.82,0.11,0.29,0.01
14,1714127043891,-2.09,-0.17,12.26,1.13,-0.81,0.37
14,1714127045270,-2.00,-2.24,10.30,0.14,0.02,-0.02
15,1714127049795,-1.24,-2.11,11.05,0.14,0.09,-0.05
15,1714127049898,-1.24,-2.20,11.87,0.10,0.25,0.05
15,1714127050692,1.73,0.77,9.22,-0.23,0.17,0.00
15,1714127050794,0.62,0.13,9.45,-0.26,0.52,0.01
15,1714127051702,-1.48,-2.98,10.25,0.18,-0.07,-0.01
16,1714127054808,-1.60,-2.92,10.12,0.25,0.06,-0.02
16,1714127055103,-0.85,-2.30,10.68,0.09,0.10,-0.01
16,1714127055378,-2.14,-1.28,11.71,0.64,-0.44,0.16
16,1714127055480,-1.18,-1.53,11.34,0.58,-0.58,0.07
16,1714127055583,-0.83,-1.47,11.20,0.66,-0.60,-0.01
16,1714127056979,-0.67,-2.76,10.52,0.29,0.17,0.02
17,1714127060084,-1.06,-2.68,10.35,0.28,0.15,-0.02
17,1714127060187,-1.25,-2.57,10.28,0.25,0.06,-0.03
17,1714127060291,-1.80,-2.33,10.70,0.24,0.05,0.02
17,1714127060393,-1.53,-2.41,10.44,0.23,0.07,-0.02
17,1714127060496,-0.42,-2.21,11.32,0.26,0.01,-0.15
17,1714127061372,1.58,0.93,8.26,-0.22,0.46,-0.06
17,1714127061475,1.38,0.87,9.27,-0.41,0.23,-0.12
17,1714127061578,1.40,0.61,9.40,-0.51,0.44,-0.07
17,1714127062347,-2.40,-2.80,11.42,0.25,-0.08,-0.33
18,1714127065454,-0.67,-2.77,10.08,0.19,-0.12,-0.12
18,1714127065555,-1.07,-2.38,10.30,0.17,-0.09,-0.10
18,1714127065659,-0.62,-2.63,10.06,0.23,-0.02,-0.19
18,1714127065762,-1.26,-2.66,10.30,0.07,0.07,-0.19
18,1714127065865,-0.21,-3.14,10.12,0.08,0.20,-0.33
18,1714127065968,-1.11,-2.97,10.63,-0.00,0.12,-0.32
18,1714127066069,-1.58,-2.61,10.24,-0.08,-0.01,-0.36
18,1714127066170,-0.43,-3.47,10.30,-0.14,-0.12,-0.58
18,1714127066274,-0.91,-3.32,10.15,-0.20,-0.01,-0.53
18,1714127066376,-0.96,-4.23,9.90,0.09,0.09,-0.37
18,1714127066480,-0.80,-4.30,9.80,0.11,0.04,-0.29
18,1714127066582,-0.47,-4.59,9.72,0.08,-0.02,-0.22
18,1714127066685,-0.48,-4.64,9.72,0.14,-0.01,-0.15
18,1714127066788,-0.50,-4.65,9.61,0.36,0.03,0.16
18,1714127066895,0.39,-4.00,9.84,0.41,-0.00,0.18
18,1714127066998,-0.69,-4.19,9.76,0.51,-0.06,0.32
18,1714127067102,-0.63,-3.43,10.30,0.50,-0.14,0.32
18,1714127067204,-0.23,-3.16,10.30,0.47,-0.17,0.30
18,1714127067307,-0.93,-3.28,10.11,0.49,0.04,0.33
18,1714127067411,-0.02,-2.55,10.29,0.46,0.03,0.28
19,1714127070517,-0.82,-2.65,10.35,0.41,0.07,0.31
19,1714127070620,-0.29,-2.50,10.19,0.39,0.03,0.29
19,1714127070722,-0.65,-2.17,10.33,0.35,0.08,0.16
19,1714127070825,-1.09,-2.38,10.44,0.33,0.06,0.17
19,1714127070928,-0.97,-2.32,10.34,0.35,0.03,0.14
19,1714127071030,-1.15,-2.20,10.48,0.36,0.06,0.12
19,1714127071133,-1.05,-2.00,10.73,0.35,0.08,0.08
19,1714127071236,-1.14,-1.92,10.64,0.31,0.05,0.09
19,1714127071339,-1.22,-2.05,10.58,0.26,0.06,0.02
19,1714127071442,-1.57,-1.46,10.24,0.18,0.09,0.05
19,1714127071545,-1.69,-1.44,10.53,0.21,0.01,-0.00
19,1714127071648,-1.92,-1.45,10.70,0.16,0.05,0.03
19,1714127071751,-0.94,-1.30,11.80,0.24,-0.05,-0.03
19,1714127071854,-2.35,-0.95,11.28,0.18,-0.01,0.14
19,1714127071957,0.43,1.57,9.18,-0.51,0.54,0.04
19,1714127072059,-0.83,-1.41,10.58,0.29,0.01,-0.05
19,1714127072163,-0.96,-1.12,10.55,0.23,0.07,-0.03
19,1714127072265,-0.38,-1.95,9.65,0.10,-0.01,-0.01
19,1714127072368,-1.01,-1.14,10.54,0.24,0.01,0.05
19,1714127072471,-1.38,-1.08,10.58,0.23,0.03,-0.06
20,1714127075576,-1.57,-1.13,12.02,0.42,0.01,-0.06
20,1714127075679,-1.84,-2.13,12.33,-0.24,0.09,-0.06
20,1714127075782,0.52,-1.05,11.96,0.92,-1.07,0.28
20,1714127075885,2.63,1.12,8.24,-0.48,0.42,0.09
20,1714127075988,-0.94,-1.40,10.68,0.38,0.13,0.00
20,1714127076089,-1.20,-1.10,10.79,0.36,0.07,0.03
20,1714127076192,-0.94,-1.13,10.51,0.28,0.08,0.05
20,1714127076295,-1.23,-1.01,10.74,0.33,0.21,0.02
20,1714127076398,-1.34,-0.95,10.29,0.24,0.10,-0.01
20,1714127076500,-2.49,-0.61,10.66,0.16,0.41,-0.15
20,1714127076603,-1.74,-0.86,10.85,0.11,0.05,-0.15
20,1714127076706,-2.35,-0.74,10.48,0.09,0.15,-0.06
20,1714127076809,-2.10,-0.79,10.81,0.20,0.10,0.00
20,1714127076911,-1.42,-1.51,10.60,0.18,-0.01,0.01
20,1714127077013,-1.79,-1.07,10.55,0.22,0.08,0.00
20,1714127077115,-1.77,-1.27,10.56,0.21,0.04,0.03
20,1714127077217,-2.31,-0.88,10.53,0.18,0.07,0.08
20,1714127077318,-1.91,-0.91,10.61,0.19,0.04,-0.05
20,1714127077419,-2.29,-1.05,10.51,0.22,0.10,-0.03
20,1714127077520,-2.01,-1.13,10.55,0.18,-0.02,-0.04
21,1714127080626,-2.34,-1.06,11.91,0.21,-0.13,0.04
21,1714127080728,-2.00,-2.23,11.63,-0.13,-0.38,0.06
21,1714127080830,1.36,1.96,9.24,-0.45,0.53,-0.08
21,1714127080934,-0.93,-0.67,10.38,0.42,0.13,-0.06
21,1714127081037,-1.10,-0.81,10.73,0.27,0.05,-0.07
21,1714127081140,-1.45,-0.92,10.73,0.19,0.05,-0.01
21,1714127081243,-1.24,-1.04,10.54,0.24,0.10,0.02
21,1714127081346,-1.55,-0.75,10.59,0.24,0.08,-0.02
21,1714127081449,-1.71,-0.51,10.48,0.23,0.00,0.03
21,1714127081553,-2.01,-0.75,10.52,0.18,0.04,-0.05
21,1714127081656,-1.98,-0.97,10.67,0.19,0.01,-0.03
21,1714127081758,-0.73,-1.22,11.37,0.20,-0.08,-0.10
21,1714127081861,-3.37,0.02,11.31,0.11,-0.06,-0.03
21,1714127081964,-0.12,-0.56,12.22,0.76,-1.16,0.59
21,1714127082067,0.79,1.64,9.32,-0.53,0.32,0.10
21,1714127082906,-1.44,-1.22,10.73,0.43,0.19,-0.07
22,1714127086012,-1.45,-1.30,10.51,0.28,0.14,-0.06
22,1714127086115,-1.65,-0.97,10.65,0.28,0.11,-0.06
22,1714127086218,-1.72,-1.03,10.66,0.22,0.02,-0.01
22,1714127086321,-1.79,-1.05,10.61,0.22,0.03,-0.07
22,1714127086424,-1.84,-1.00,10.70,0.18,-0.03,-0.02
22,1714127086526,-1.14,-1.12,12.31,0.19,-0.03,0.06
22,1714127086639,-0.51,-0.06,11.18,1.22,-0.95,0.22
22,1714127087300,0.95,3.39,7.62,-0.36,0.30,-0.09
22,1714127087405,1.33,2.27,8.32,-0.72,0.02,-0.08
22,1714127088231,-1.53,-0.85,11.09,0.42,0.13,-0.05
23,1714127091337,-0.59,-1.06,10.37,0.14,-0.11,-0.01
23,1714127091439,-1.55,-0.70,10.65,0.24,0.04,-0.02
23,1714127091542,-1.71,-0.88,10.62,0.16,0.02,-0.01
23,1714127091645,-1.63,-0.88,10.51,0.20,0.02,-0.02
23,1714127091747,-1.69,-0.84,10.68,0.31,0.10,0.03
23,1714127091851,-1.91,-0.76,10.56,0.29,0.18,-0.02
23,1714127091954,-2.43,-0.44,10.29,0.21,0.10,-0.03
23,1714127092057,-1.07,-1.08,10.86,0.10,-0.10,-0.02
23,1714127092160,-1.57,-1.12,10.03,0.16,0.03,-0.06
23,1714127092263,-0.96,-0.99,11.35,0.24,0.44,-0.02
23,1714127092365,-1.58,-0.51,11.20,0.92,-0.56,0.31
23,1714127092637,0.54,1.16,9.30,-0.43,0.61,-0.13
23,1714127092739,0.04,1.07,9.41,-0.48,0.67,-0.08
23,1714127093692,-2.14,-1.28,10.26,0.26,-0.04,-0.00
24,1714127097147,-3.39,-0.61,11.53,0.13,-0.03,-0.02
24,1714127098111,2.01,1.54,8.88,-0.38,0.16,-0.06
24,1714127098214,1.11,1.19,9.60,-0.43,0.34,-0.02
24,1714127098988,-0.89,-2.18,10.77,0.19,0.03,-0.05
25,1714127102094,-0.96,-2.38,10.40,0.18,0.04,-0.05
25,1714127102197,-0.95,-2.40,10.30,0.21,0.10,-0.09
25,1714127102428,-1.51,-2.29,11.59,0.10,-0.05,0.00
25,1714127102531,-0.74,-2.36,10.33,0.14,0.20,0.15
25,1714127102633,-2.21,-2.41,11.96,0.18,0.26,0.18
25,1714127102737,-2.41,-1.63,12.37,0.93,-0.25,0.36
25,1714127102840,-1.00,-1.72,11.40,0.89,-0.53,0.17
25,1714127103390,1.51,0.03,9.44,-0.25,0.16,-0.01
25,1714127103493,0.52,-0.26,9.81,-0.28,0.32,0.02
25,1714127104090,-0.80,-3.77,11.46,0.37,-0.21,0.00
26,1714127107197,-1.69,-2.47,10.32,0.19,0.02,-0.01
26,1714127107533,-1.40,-2.68,11.44,0.12,0.05,-0.01
26,1714127107808,-2.03,-2.07,11.26,0.99,-0.57,0.04
26,1714127108583,0.85,-0.06,9.36,-0.42,0.24,0.03
26,1714127109463,-1.55,-2.58,10.30,0.20,-0.01,-0.00
27,1714127112569,-1.54,-2.64,10.21,0.18,0.01,-0.01
27,1714127112671,-1.59,-2.40,10.23,0.18,-0.01,-0.01
27,1714127112899,-1.60,-2.36,11.60,0.17,0.13,0.06
27,1714127113135,-2.49,-1.62,12.37,1.19,-0.43,0.14
27,1714127113878,0.75,1.61,8.39,-0.46,0.40,0.03
27,1714127113980,0.06,1.12,9.09,-0.58,0.44,0.02
27,1714127114855,-1.67,-1.83,10.38,0.26,-0.01,0.08
28,1714127117963,-1.72,-1.88,10.33,0.24,-0.01,0.08
28,1714127118065,-2.11,-1.72,10.49,0.28,0.03,0.04
28,1714127118168,-2.15,-1.32,10.42,0.35,0.16,0.14
28,1714127118271,-2.32,-1.14,10.34,0.33,0.11,0.12
28,1714127118374,-2.20,-1.16,10.47,0.29,0.05,0.05
28,1714127118475,-2.35,-1.18,10.39,0.29,0.09,0.06
28,1714127118578,-2.66,-1.01,9.77,0.31,0.13,-0.06
28,1714127118681,-2.48,-0.40,10.05,0.25,0.04,-0.04
28,1714127118784,-2.60,-1.05,10.35,0.05,-0.02,-0.08
28,1714127118886,-2.42,-1.21,11.09,-0.06,-0.13,0.02
28,1714127118989,-1.99,-0.17,12.15,0.90,-0.62,0.24
28,1714127119430,0.39,1.79,8.91,-0.71,0.13,-0.02
28,1714127120308,-1.89,-1.30,10.33,0.35,0.06,0.03
29,1714127123413,-1.89,-1.22,10.39,0.30,0.04,0.04
29,1714127123516,-1.97,-1.02,10.40,0.34,0.11,0.03
29,1714127123619,-2.17,-0.85,10.41,0.33,0.06,0.01
29,1714127123722,-2.51,-0.61,10.41,0.22,0.04,0.02
29,1714127123825,-2.56,-0.85,11.18,0.12,0.01,-0.00
29,1714127123928,-2.34,-0.69,11.24,0.05,-0.05,0.05
29,1714127124073,-1.36,-0.30,12.27,0.79,-0.70,0.25
29,1714127124801,0.99,1.48,8.66,-0.49,0.41,-0.18
29,1714127125541,-3.61,0.71,9.90,0.71,0.66,0.04
30,1714127128645,-2.24,-1.16,10.10,0.29,0.21,-0.04
30,1714127128746,-2.01,-1.22,10.56,0.26,0.06,0.02
30,1714127128848,-2.20,-1.09,10.42,0.19,0.04,-0.02
30,1714127128949,-2.66,-0.76,10.44,0.23,0.03,0.04
30,1714127129050,-2.90,-0.58,10.37,0.20,0.08,0.03
30,1714127129153,-2.68,-0.69,10.35,0.19,0.02,0.07
30,1714127129289,-4.82,0.57,11.03,-0.01,-0.03,0.02
30,1714127130155,0.65,2.88,8.33,-0.46,0.61,-0.09
31,1714127134369,-2.37,-0.67,10.48,0.27,0.14,0.04
31,1714127134471,-2.41,-0.74,10.38,0.23,0.04,0.01
31,1714127134574,-2.51,-0.68,10.46,0.22,0.03,0.02
31,1714127134677,-2.50,-0.62,10.58,0.20,0.02,0.03
31,1714127134780,-2.49,-0.64,10.45,0.19,0.01,-0.02
31,1714127134883,-2.80,-0.50,10.38,0.16,-0.02,-0.02
31,1714127134986,-2.76,-0.67,10.31,0.18,-0.03,-0.06
31,1714127135089,-2.72,-0.76,10.43,0.18,-0.06,-0.04
31,1714127135191,-1.17,-0.91,11.21,0.25,0.16,-0.10
31,1714127135696,0.32,2.20,9.07,-0.70,0.26,-0.04
31,1714127136760,-1.98,-1.33,10.39,0.25,0.12,-0.02
32,1714127139863,-2.18,-1.08,10.53,0.22,0.04,-0.01
32,1714127140220,-2.03,-0.80,12.05,-0.04,-0.12,0.03
32,1714127140455,-2.38,-0.72,12.63,1.20,0.07,0.48
32,1714127140558,-2.61,-0.44,12.06,1.12,-0.74,0.38
32,1714127141231,1.27,1.84,8.49,-0.44,0.63,-0.06
32,1714127141334,0.88,1.84,8.54,-0.57,0.60,-0.08
32,1714127142283,-1.98,-1.79,10.41,0.25,0.03,0.00
33,1714127145798,-1.76,-1.43,11.28,0.07,-0.08,-0.03
33,1714127146855,2.43,1.60,8.66,-0.39,0.39,-0.08
34,1714127151069,-1.67,-2.10,10.31,0.28,0.05,-0.02
34,1714127151281,-1.70,-1.79,10.14,0.13,0.07,0.00
34,1714127151384,-1.85,-1.74,12.44,0.11,0.10,0.05
34,1714127151560,-1.68,-0.71,11.75,1.17,-0.51,0.17
34,1714127152206,0.28,2.30,9.42,-0.48,0.16,-0.03
34,1714127152309,0.25,1.51,9.32,-0.57,0.31,0.02
34,1714127153133,-1.17,-2.08,10.68,0.19,-0.07,-0.01
35,1714127156240,-1.58,-1.68,10.46,0.33,-0.02,-0.05
35,1714127156343,-1.58,-1.60,10.38,0.35,0.00,-0.04
35,1714127156446,-2.01,-0.74,10.53,0.28,0.08,0.01
35,1714127156549,-2.21,-0.93,10.57,0.29,0.12,0.01
