Group_id,Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
2,1714685940829,0.49,-0.10,11.11,0.03,-0.08,0.23
2,1714685940863,1.30,-0.97,10.69,0.09,0.00,0.43
2,1714685940896,-1.59,-1.13,11.55,0.02,-0.28,1.14
2,1714685940930,0.83,-0.51,11.17,0.02,-0.67,1.00
2,1714685940963,2.29,-0.21,10.46,0.20,-0.15,0.48
2,1714685940996,1.27,-0.17,10.79,0.29,0.17,-0.00
2,1714685941029,0.15,-0.15,11.48,0.23,0.17,-0.10
2,1714685941063,0.82,-0.92,12.07,0.33,0.33,-0.15
2,1714685941096,8.21,-0.06,11.13,0.70,1.60,-2.51
2,1714685941129,-16.58,2.00,8.31,0.47,0.51,-1.79
2,1714685941162,0.40,0.79,10.51,0.21,0.09,0.25
2,1714685941196,0.73,0.18,9.63,0.17,-0.23,-0.07
2,1714685941229,0.14,-0.67,11.27,0.22,0.22,-0.27
2,1714685941262,-2.67,0.61,10.37,0.30,-0.13,-0.35
2,1714685941295,-0.09,-0.75,10.94,0.20,-0.08,0.19
2,1714685941329,-1.36,-0.51,10.31,0.14,0.18,0.23
2,1714685941362,1.02,-0.22,10.85,0.14,0.01,0.02
2,1714685941395,-0.12,-0.40,10.59,0.04,0.02,-0.40
2,1714685941429,-1.05,0.12,10.79,-0.03,0.02,-0.21
2,1714685941463,0.34,-0.11,10.70,0.12,0.17,-0.13
2,1714685941496,1.07,-0.95,11.27,0.04,0.30,-0.04
2,1714685941529,-2.96,-2.01,13.13,-0.05,-0.03,-0.28
2,1714685941561,0.71,-1.32,12.22,0.40,0.86,0.06
2,1714685941594,1.54,-1.92,10.86,0.33,0.22,-0.23
2,1714685941627,0.68,-1.28,10.72,0.52,0.62,-0.35
2,1714685941661,-0.21,-1.05,11.05,0.52,0.43,-0.40
2,1714685941694,0.64,-0.67,9.72,0.35,0.45,-0.52
2,1714685941728,1.07,-0.55,9.21,0.39,0.65,-0.62
2,1714685941761,0.80,-0.36,9.62,0.48,0.91,-0.74
2,1714685941793,-1.08,-0.36,9.19,0.20,0.99,-0.95
2,1714685941826,-1.82,-0.40,10.14,0.15,0.11,-0.91
2,1714685941859,-0.26,-0.80,10.52,0.33,0.20,-1.02
2,1714685941892,-2.94,-0.67,11.19,0.28,0.20,-1.15
2,1714685941925,-2.88,-0.82,11.40,0.27,-0.56,-1.10
2,1714685941959,-0.41,-0.62,11.06,0.52,-0.01,-1.12
2,1714685941992,-2.51,-0.34,11.06,0.67,0.80,-1.17
3,1714685945025,-4.12,0.26,11.11,0.54,0.31,-1.05
3,1714685945058,-2.61,0.16,10.32,0.48,0.10,-0.90
3,1714685945091,-3.08,0.55,10.48,0.54,0.43,-0.80
3,1714685945124,-4.04,0.39,10.28,0.44,0.18,-0.67
3,1714685945158,-2.40,0.57,9.68,0.40,-0.01,-0.57
3,1714685945191,-2.00,0.45,9.97,0.45,0.33,-0.56
3,1714685945223,-3.27,0.71,10.40,0.45,0.26,-0.50
3,1714685945256,-2.72,0.82,10.41,0.44,0.22,-0.45
3,1714685945290,-2.41,0.56,10.77,0.50,0.45,-0.43
3,1714685945322,-3.65,0.63,11.00,0.53,0.32,-0.34
3,1714685945354,-3.41,1.00,10.78,0.50,0.13,-0.19
3,1714685945387,-3.10,1.14,10.94,0.42,0.28,-0.07
3,1714685945419,-3.78,1.17,11.00,0.33,0.07,0.04
3,1714685945453,-2.61,0.96,10.65,0.19,-0.14,0.10
3,1714685945484,-1.88,0.72,10.65,0.22,0.07,0.11
3,1714685945517,-3.12,0.47,11.04,0.27,0.10,0.09
3,1714685945549,-2.38,0.65,10.34,0.26,-0.09,0.10
3,1714685945582,-2.21,1.02,10.24,0.34,0.18,0.08
3,1714685945614,-4.49,1.11,10.36,0.36,-0.02,0.15
3,1714685945646,-3.15,1.05,9.87,0.29,-0.30,0.24
3,1714685945679,-2.44,1.00,9.64,0.34,0.13,0.23
3,1714685945712,-4.53,0.80,10.22,0.42,0.25,0.34
3,1714685945744,-3.76,0.74,10.26,0.43,0.06,0.47
3,1714685945776,-2.22,0.51,9.69,0.40,0.19,0.50
3,1714685945809,-2.22,0.75,9.73,0.47,0.19,0.44
3,1714685945842,-1.13,0.88,9.90,0.39,0.11,0.32
3,1714685945874,-1.91,0.85,9.91,0.37,0.17,0.27
3,1714685945907,-2.39,0.08,9.95,0.78,0.40,0.33
3,1714685945939,-3.21,1.28,10.59,0.60,0.34,0.31
3,1714685945971,-3.93,1.98,9.60,0.41,0.24,0.37
3,1714685946004,-4.00,1.93,9.23,0.37,0.29,0.51
3,1714685946037,-4.04,1.89,9.59,0.16,0.25,0.58
3,1714685946069,-2.94,1.67,9.82,-0.05,0.08,0.58
3,1714685946101,-1.98,1.21,9.84,-0.07,0.04,0.52
3,1714685946133,-1.51,1.02,10.15,-0.09,0.02,0.42
3,1714685946166,-1.66,1.05,10.46,-0.05,0.14,0.30
3,1714685946198,-2.28,1.36,10.62,-0.02,0.16,0.17
3,1714685946230,-2.58,1.46,10.69,-0.09,0.04,0.12
3,1714685946262,-2.43,1.30,10.46,-0.05,0.07,0.09
3,1714685946295,-2.72,1.75,10.63,0.02,0.03,0.08
3,1714685946328,-2.43,1.92,10.61,-0.01,-0.04,0.05
3,1714685946361,-2.52,1.84,9.78,0.03,0.16,-0.01
3,1714685946394,-3.01,1.74,10.15,0.03,0.11,0.03
3,1714685946426,-2.18,1.60,10.12,-0.06,0.00,0.01
3,1714685946459,-1.94,1.31,9.85,-0.10,0.14,-0.08
3,1714685946491,-2.85,0.35,11.04,0.04,0.06,-0.13
3,1714685946524,-2.47,1.32,10.61,0.07,0.16,-0.22
3,1714685946556,-2.79,0.57,10.03,0.10,0.25,-0.27
3,1714685946589,-3.06,0.18,9.89,0.15,0.13,-0.27
3,1714685946621,-2.81,0.30,10.24,0.14,0.22,-0.34
3,1714685946653,-4.19,-0.11,10.01,0.16,0.37,-0.30
3,1714685946686,-4.60,-0.17,10.80,0.21,0.09,-0.12
3,1714685946718,-3.66,0.52,10.01,0.19,0.03,-0.04
3,1714685946750,-3.38,0.79,9.95,0.11,-0.02,0.02
